0.14722,0.00069921,687.16,4.4512
0.148,0.00024618,1351.8,2.4439
0.12552,0.00057615,532.34,6.6393
0.15468,0.00062247,1303.2,4.7364
0.13044,0.00088612,1551.2,4.9778
0.14438,0.00042396,2248.5,2.8782
0.15505,0.0001175,455.34,5.3657
0.15562,0.00054346,1882.5,3.6118
0.13084,0.00046949,1636.2,3.6856
0.15362,0.0011064,2170.7,5.0139
0.13297,0.000328,1501.6,5.9824
0.12671,0.0010835,1725.4,6.0234
0.12,0.00029331,1364.9,6.887
0.14613,0.00040575,646.31,5.079
0.14789,0.00022498,1975.5,3.0307
0.14115,0.0011643,2093.2,5.5411
0.11909,0.00073678,1546.4,6.7831
0.1216,0.00010139,1655.2,5.7418
0.11949,0.001004,1896.9,6.7632
0.13417,0.00094506,1915.2,4.282
0.13969,0.00042057,1476.4,3.4221
0.14205,0.00026741,1801.3,6.8005
0.15543,0.00093391,1021.3,3.0222
0.14018,0.0011091,2036.3,3.5158
0.13282,0.00061805,1404.5,4.8914
0.14179,0.00049103,996.42,4.1056
0.12746,0.00031776,533.51,5.8962
0.13412,0.0011545,1245.5,5.4011
0.13163,0.00071216,1617.9,5.3323
