0.79989,0.23498,-1.4897,-0.34648
0.867,-1.1223,-0.20471,-1.8721
-1.0669,-0.1337,-1.7891,1.3166
1.4417,0.0050755,-0.29867,-0.12971
-0.64368,0.79496,0.18082,0.053767
0.55557,-0.58965,1.529,-1.542
1.4735,-1.5078,-1.938,0.34859
1.5225,-0.23163,0.82136,-0.98447
-0.60927,-0.45324,0.34516,-0.92838
1.3505,1.4549,1.3786,0.081206
-0.42602,-0.87714,0.084919,0.81732
-0.96457,1.3863,0.51762,0.84848
-1.5418,-0.98107,-0.17938,1.5049
0.70612,-0.64421,-1.5687,0.13069
0.85753,-1.1858,1.0012,-1.4261
0.2777,1.6284,1.2287,0.48191
-1.6201,0.34754,0.17154,1.4259
-1.4042,-1.5561,0.38189,0.63445
-1.5857,1.1481,0.84921,1.4108
-0.32279,0.97154,0.88459,-0.47508
0.15209,-0.59981,0.036197,-1.1287
0.35512,-1.0587,0.66437,1.4391
1.5062,0.93813,-0.84371,-1.4326
0.19425,1.463,1.1187,-1.0574
-0.43893,-0.0081665,-0.10282,-0.011901
0.33276,-0.38871,-0.89181,-0.60915
-0.90004,-0.90782,-1.7868,0.7518
-0.32709,1.599,-0.41023,0.3755
-0.5413,0.27378,0.30978,0.32321
